Time,Torque,Temp_1,Temp_2
1628271966.78, -5.27,74.45,74.16
1628271966.83, -5.27,74.43,74.15
1628271966.87, -5.27,74.44,74.16
1628271966.91, -5.27,74.44,74.16
1628271966.96, -5.27,74.44,74.15
1628271967.00, -5.27,74.42,74.15
1628271967.05, -5.27,74.44,74.16
1628271967.09, -5.27,74.44,74.14
1628271967.14, -5.27,74.45,74.15
1628271967.18, -5.27,74.43,74.16
1628271967.22, -5.27,74.44,74.14
1628271967.27, -5.27,74.42,74.14
1628271967.31, -5.27,74.44,74.14
1628271967.36, -5.27,74.45,74.14
1628271967.40, -5.27,74.44,74.14
1628271967.45, -5.27,74.44,74.14
1628271967.49, -5.27,74.43,74.12
1628271967.54, -5.27,74.44,74.14
1628271967.58, -5.27,74.45,74.15
1628271967.63, -5.27,74.43,74.13
1628271967.67, -5.27,74.44,74.15
1628271967.71, -5.27,74.44,74.14
1628271967.76, -5.27,74.43,74.14
1628271967.80, -5.27,74.44,74.15
1628271967.85, -5.27,74.43,74.13
1628271967.89, -5.27,74.43,74.14
1628271967.93, -5.27,74.44,74.13
1628271967.98, -5.27,74.44,74.14
1628271968.02, -5.27,74.43,74.14
1628271968.07, -5.27,74.44,74.14
1628271968.11, -5.27,74.44,74.14
1628271968.16, -5.27,74.42,74.13
1628271968.20, -5.27,74.43,74.13
1628271968.25, -5.27,74.43,74.14
1628271968.29, -5.27,74.43,74.11
1628271968.34, -5.27,74.44,74.12
1628271968.38, -5.27,74.43,74.14
1628271968.43, -5.27,74.43,74.14
1628271968.47, -5.27,74.44,74.14
1628271968.51, -5.27,74.44,74.14
1628271968.56, -5.27,74.44,74.12
1628271968.60, -5.27,74.44,74.14
1628271968.65, -5.27,74.44,74.13
1628271968.69, -5.27,74.44,74.13
1628271968.74, -5.27,74.44,74.11
1628271968.78, -5.27,74.43,74.13
1628271968.83, -5.27,74.44,74.12
1628271968.87, -5.27,74.44,74.11
1628271968.92, -5.27,74.44,74.13
1628271968.96, -5.27,74.43,74.12
1628271969.01, -5.27,74.44,74.12
1628271969.05, -5.27,74.44,74.11
1628271969.09, -5.27,74.44,74.11
1628271969.14, -5.27,74.44,74.13
1628271969.18, -5.27,74.45,74.14
1628271969.23, -5.27,74.45,74.13
