Time,Current,Velocity
1628271893.68,0,0
1628271893.71,0,0
1628271893.73,0,0
1628271893.75,0,0
1628271893.77,2,0
1628271893.79,0,0
1628271893.81,0,0
1628271893.82,-2,0
1628271893.85,-2,0
1628271893.87,0,0
1628271893.89,0,0
1628271893.91,-2,0
1628271893.93,-2,0
1628271893.95,0,0
1628271893.97,-2,0
1628271893.99,0,0
1628271894.00,0,0
1628271894.03,0,0
1628271894.05,0,0
1628271894.07,0,0
1628271894.09,-100,0
1628271894.11,-321,0
1628271894.13,-533,-3120
1628271894.15,-824,-10200
1628271894.17,-575,-19260
1628271894.19,-598,-28380
1628271894.21,-485,-35340
1628271894.23,-522,-39720
1628271894.25,-619,-41880
1628271894.27,-522,-42600
1628271894.29,-528,-42540
1628271894.31,-551,-42120
1628271894.33,-554,-41760
1628271894.35,-493,-41520
1628271894.37,-587,-41340
1628271894.39,-475,-41220
1628271894.41,-493,-41220
1628271894.43,-616,-41220
1628271894.45,-518,-41220
1628271894.47,-522,-41220
1628271894.49,-577,-41220
1628271894.51,-572,-41220
1628271894.53,-532,-41220
1628271894.55,-608,-41220
1628271894.57,-519,-41220
1628271894.59,-520,-41160
1628271894.61,-621,-41160
1628271894.63,-547,-41220
1628271894.65,-543,-41220
1628271894.67,-574,-41220
1628271894.68,-560,-41220
1628271894.71,-474,-41220
1628271894.72,-604,-41160
1628271894.75,-500,-41160
1628271894.77,-522,-41160
1628271894.79,-615,-41160
1628271894.81,-514,-41160
1628271894.83,-513,-41160
1628271894.85,-573,-41160
1628271894.87,-631,-41160
1628271894.89,-472,-41160
1628271894.91,-545,-41160
1628271894.93,-536,-41160
1628271894.94,-514,-41160
1628271894.97,-597,-41160
1628271894.99,-570,-41160
1628271895.01,-560,-41160
1628271895.03,-481,-41040
1628271895.05,-596,-40920
1628271895.07,-511,-40920
1628271895.09,-504,-40980
1628271895.10,-560,-41040
1628271895.13,-562,-41100
1628271895.15,-549,-41100
1628271895.17,-549,-41160
1628271895.19,-605,-41160
1628271895.21,-502,-41160
